intpr_mean intpr_stdev intpr_kurt intpr_skew class
102.5078125 58.88243001 0.465318154 -0.515087909 0
119.484375 48.76505927 0.03146022 -0.112167573 0
133.2578125 44.05824378 -0.081059862 0.115361506 0
109.640625 49.01765217 0.13763583 -0.256699775 0
105.4453125 41.13996851 0.142653801 0.320419676 0
130.8515625 52.43285734 0.142596727 0.018885442 0
99.9140625 43.91949797 0.475728501 0.781486196 0
147.8359375 53.62263651 -0.131079596 -0.288851172 0
116.203125 47.34586165 0.211946824 -0.022177703 0
106.28125 43.02178545 0.408868006 1.032014666 0
105.1171875 45.09202762 0.464847891 0.878058377 0
108.625 52.74614915 0.453556415 0.069731528 0
27.765625 28.66604164 5.770087392 37.4190088 1
143.0859375 49.92197464 -0.157561213 -0.153332697 0
119.4453125 53.14305702 0.012830273 -0.378955989 0
135.265625 48.14390609 0.015920939 -0.15877212 0
148.3828125 51.200757 -0.113195798 -0.50223559 0
87.515625 51.76343189 1.070588903 0.74283956 0
112.4375 38.2956733 0.501943444 1.07484029 0
70.0234375 35.28067478 1.157657193 4.546692371 0
103.5234375 45.72573893 0.3365333 0.520557925 0
118.8203125 45.09771225 0.226520706 0.321414341 0
140.6796875 44.57874592 0.013023756 0.385921041 0
108.125 46.4058186 0.428837305 0.234800176 0
125.1328125 42.58417603 0.266771474 0.88061398 0
117.578125 40.39252897 0.450527632 0.705734323 0
112.4140625 45.63091183 0.301825023 0.680368955 0
132.203125 49.37236692 0.068983802 -0.188895383 0
131.8125 54.10662939 -0.148850574 -0.311542332 0
26.921875 34.5110058 4.709838436 24.24740042 1
120.8125 45.16181843 0.451277319 0.314943674 0
104.8046875 47.79236645 0.328691864 0.083438105 0
133.1640625 52.98198063 -0.132383847 -0.49394484 0
133.3671875 56.54462716 0.032098564 -0.481222279 0
124.0 52.44997617 -0.043735199 -0.239057773 0
97.7734375 47.58154429 0.408923366 0.216219451 0
82.8828125 39.13131361 0.779404515 2.205462374 0
83.96875 32.78693945 0.972955394 4.940514989 0
119.78125 47.94054545 0.10417849 -0.051149046 0
133.046875 51.12238064 -0.145585798 -0.325246456 0
128.6328125 52.94260912 -0.034207574 -0.385722225 0
135.3046875 46.05407124 -0.097731063 0.106727011 0
153.515625 44.32655531 -0.230928343 0.323604741 0
101.9609375 42.81161538 0.567676385 0.967241302 0
106.015625 53.36050511 0.296141538 -0.374817981 0
109.3359375 50.30178882 0.206914504 0.053811115 0
119.1640625 47.39194574 0.080218949 -0.207418178 0
114.9609375 55.09585431 -0.04537176 -0.513684544 0
